Date,Result,Mega Ball,Megaplier,Est. jackpot,Source,Number1,Number2,Number3,Number4,Number5,BonusNumber
2021-01-01,,,,,PDF_OCR,31.0,1.0,1.0,7.0,3.0,1.0
2020-01-01,,,,,PDF_OCR,38.0,8.0,18.0,1.0,1.0,19.0
2020-01-01,,,,,PDF_OCR,2.0,1.0,1.0,1.0,21.0,1.0
2020-01-01,,,,,PDF_OCR,1.0,32.0,3.0,1.0,21.0,1.0
2020-01-01,,,,,PDF_OCR,4.0,1.0,1.0,1.0,2.0,1.0
2020-01-01,,,,,PDF_OCR,8.0,8.0,8.0,3.0,5.0,3.0
2020-01-01,,,,,PDF_OCR,8.0,8.0,8.0,8.0,8.0,8.0
2020-01-01,,,,,PDF_OCR,3.0,8.0,8.0,2.0,8.0,18.0
2020-01-01,,,,,PDF_OCR,3.0,1.0,1.0,13.0,1.0,2.0
2020-01-01,,,,,PDF_OCR,21.0,13.0,4.0,1.0,1.0,1.0
2020-01-01,,,,,PDF_OCR,15.0,4.0,1.0,8.0,2.0,2.0
2020-01-01,,,,,PDF_OCR,3.0,1.0,8.0,4.0,3.0,12.0
2020-01-01,,,,,PDF_OCR,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-01,,,,,PDF_OCR,8.0,2.0,48.0,8.0,28.0,2.0
2020-01-01,,,,,PDF_OCR,4.0,8.0,4.0,8.0,8.0,22.0
2020-01-01,,,,,PDF_OCR,2.0,2.0,8.0,3.0,4.0,8.0
2020-01-01,,,,,PDF_OCR,9.0,9.0,3.0,3.0,9.0,3.0
2020-01-01,,,,,PDF_OCR,1.0,2.0,2.0,1.0,2.0,21.0
2020-01-01,,,,,PDF_OCR,3.0,8.0,8.0,3.0,3.0,8.0
2019-01-01,,,,,PDF_OCR,18.0,21.0,8.0,8.0,8.0,1.0
2019-01-01,,,,,PDF_OCR,3.0,6.0,1.0,1.0,1.0,3.0
2019-01-01,,,,,PDF_OCR,8.0,2.0,3.0,8.0,8.0,3.0
2019-01-01,,,,,PDF_OCR,1.0,21.0,1.0,1.0,51.0,1.0
2019-01-01,,,,,PDF_OCR,2.0,1.0,1.0,1.0,1.0,1.0
2019-01-01,,,,,PDF_OCR,1.0,1.0,11.0,1.0,1.0,11.0
2019-01-01,,,,,PDF_OCR,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-01,,,,,PDF_OCR,21.0,1.0,1.0,1.0,1.0,1.0
2019-01-01,,,,,PDF_OCR,1.0,4.0,1.0,1.0,1.0,1.0
2019-01-01,,,,,PDF_OCR,11.0,1.0,1.0,11.0,61.0,1.0
2019-01-01,,,,,PDF_OCR,1.0,1.0,1.0,9.0,10.0,9.0
2019-01-01,,,,,PDF_OCR,3.0,1.0,7.0,1.0,1.0,3.0
2019-01-01,,,,,PDF_OCR,1.0,1.0,10.0,1.0,11.0,1.0
2019-01-01,,,,,PDF_OCR,1.0,1.0,1.0,1.0,11.0,11.0
2019-01-01,,,,,PDF_OCR,8.0,2.0,2.0,8.0,4.0,25.0
2019-01-01,,,,,PDF_OCR,10.0,3.0,1.0,1.0,1.0,1.0
