Date,Main draw,Powerball,Power Play,Double Play,Powerball.1,Power Play.1,Est. jackpot,Source,Number1,Number2,Number3,Number4,Number5,BonusNumber
2024-12-25,"15, 26, 27, 30, 35",3.0,x3,"8, 29, 30, 47, 57",1.0,,$124 Million ,LotteryUSA,,,,,,
2024-12-23,"22, 42, 44, 57, 64",18.0,x2,"16, 49, 62, 63, 68",10.0,,$108 Million ,LotteryUSA,,,,,,
2024-12-21,"1, 12, 17, 21, 58",1.0,x3,"29, 45, 46, 51, 59",3.0,,$92 Million ,LotteryUSA,,,,,,
2024-12-18,"6, 15, 18, 33, 49",7.0,x2,"41, 45, 52, 56, 67",6.0,,$71 Million ,LotteryUSA,,,,,,
2024-12-16,"9, 30, 33, 57, 61",17.0,x2,"2, 7, 15, 21, 56",12.0,,$58 Million ,LotteryUSA,,,,,,
2024-12-14,"12, 17, 23, 52, 67",1.0,x2,"12, 16, 36, 55, 64",3.0,,$48 Million ,LotteryUSA,,,,,,
2024-12-11,"13, 44, 50, 52, 54",20.0,x2,"18, 23, 34, 60, 62",19.0,,$30 Million ,LotteryUSA,,,,,,
2024-12-09,"35, 37, 40, 45, 51",24.0,x2,"7, 17, 28, 44, 54",8.0,,$20 Million ,LotteryUSA,,,,,,
2024-12-07,"1, 31, 43, 55, 57",22.0,x2,"8, 10, 39, 57, 61",12.0,,$256 Million ,LotteryUSA,,,,,,
2024-12-04,"1, 23, 25, 28, 61",13.0,x2,"14, 35, 43, 48, 54",1.0,,$240 Million ,LotteryUSA,,,,,,
2024-12-02,"3, 9, 26, 61, 67",13.0,x2,"14, 27, 34, 39, 40",4.0,,$225 Million ,LotteryUSA,,,,,,
2024-11-30,"4, 24, 29, 39, 63",25.0,x4,"9, 21, 37, 43, 61",23.0,,$212 Million ,LotteryUSA,,,,,,
2024-11-27,"1, 6, 7, 13, 40",5.0,x5,"19, 37, 41, 42, 62",13.0,,$199 Million ,LotteryUSA,,,,,,
2024-11-25,"5, 35, 45, 60, 63",12.0,x2,"2, 13, 25, 27, 39",10.0,,$184 Million ,LotteryUSA,,,,,,
2024-11-23,"12, 13, 34, 44, 67",8.0,x3,"36, 40, 41, 50, 60",13.0,,$172 Million ,LotteryUSA,,,,,,
2024-11-20,"16, 30, 60, 62, 64",25.0,x3,"3, 10, 37, 40, 68",1.0,,$155 Million ,LotteryUSA,,,,,,
2024-11-18,"27, 31, 41, 52, 69",26.0,x3,"2, 6, 24, 36, 43",13.0,,$144 Million ,LotteryUSA,,,,,,
2024-11-16,"21, 22, 25, 32, 38",16.0,x5,"16, 23, 31, 59, 63",10.0,,$134 Million ,LotteryUSA,,,,,,
2024-11-13,"9, 20, 26, 43, 58",9.0,x2,"14, 41, 45, 55, 59",13.0,,$115 Million ,LotteryUSA,,,,,,
2024-11-11,"3, 21, 24, 34, 46",9.0,x3,"16, 23, 38, 40, 57",10.0,,$103 Million ,LotteryUSA,,,,,,
2024-11-09,"11, 24, 50, 56, 66",16.0,x2,"9, 28, 40, 55, 57",22.0,,$92 Million ,LotteryUSA,,,,,,
2024-11-06,"12, 17, 37, 58, 62",4.0,x2,"12, 16, 17, 39, 45",10.0,,$76 Million ,LotteryUSA,,,,,,
2024-11-04,"6, 18, 33, 48, 53",21.0,x10,"8, 14, 16, 34, 51",14.0,,$65 Million ,LotteryUSA,,,,,,
2024-11-02,"10, 45, 48, 58, 61",2.0,x3,"4, 20, 37, 48, 58",24.0,,$55 Million ,LotteryUSA,,,,,,
2024-10-30,"13, 22, 29, 43, 58",22.0,x3,"18, 36, 39, 49, 62",12.0,,$39 Million ,LotteryUSA,,,,,,
2024-10-28,"21, 27, 32, 48, 67",17.0,x2,"6, 16, 19, 24, 40",5.0,,$29 Million ,LotteryUSA,,,,,,
2021-01-01,,,,,,,,PDF_OCR,4.0,2.0,2.0,1.0,7.0,8.0
2021-01-01,,,,,,,,PDF_OCR,3.0,4.0,2.0,2.0,8.0,2.0
2021-01-01,,,,,,,,PDF_OCR,44.0,4.0,1.0,4.0,1.0,4.0
2021-01-01,,,,,,,,PDF_OCR,12.0,3.0,2.0,4.0,4.0,5.0
2021-01-01,,,,,,,,PDF_OCR,4.0,8.0,11.0,20.0,24.0,7.0
2021-01-01,,,,,,,,PDF_OCR,31.0,1.0,1.0,7.0,3.0,1.0
2021-01-01,,,,,,,,PDF_OCR,5.0,2.0,2.0,2.0,2.0,3.0
2021-01-01,,,,,,,,PDF_OCR,3.0,2.0,7.0,3.0,2.0,2.0
2020-01-01,,,,,,,,PDF_OCR,2.0,3.0,8.0,8.0,8.0,22.0
2020-01-01,,,,,,,,PDF_OCR,8.0,8.0,8.0,8.0,8.0,8.0
2020-01-01,,,,,,,,PDF_OCR,8.0,8.0,8.0,3.0,5.0,3.0
2020-01-01,,,,,,,,PDF_OCR,4.0,1.0,1.0,1.0,2.0,1.0
2020-01-01,,,,,,,,PDF_OCR,18.0,8.0,8.0,1.0,1.0,13.0
2020-01-01,,,,,,,,PDF_OCR,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-01,,,,,,,,PDF_OCR,8.0,8.0,8.0,8.0,12.0,8.0
2020-01-01,,,,,,,,PDF_OCR,18.0,1.0,2.0,8.0,1.0,4.0
2020-01-01,,,,,,,,PDF_OCR,8.0,8.0,4.0,8.0,8.0,8.0
2020-01-01,,,,,,,,PDF_OCR,15.0,4.0,1.0,8.0,2.0,2.0
2020-01-01,,,,,,,,PDF_OCR,3.0,1.0,1.0,13.0,1.0,2.0
2020-01-01,,,,,,,,PDF_OCR,8.0,2.0,48.0,8.0,28.0,2.0
2020-01-01,,,,,,,,PDF_OCR,3.0,1.0,8.0,4.0,3.0,12.0
2020-01-01,,,,,,,,PDF_OCR,9.0,9.0,3.0,3.0,9.0,3.0
2020-01-01,,,,,,,,PDF_OCR,1.0,2.0,2.0,1.0,2.0,21.0
2020-01-01,,,,,,,,PDF_OCR,21.0,13.0,4.0,1.0,1.0,1.0
2020-01-01,,,,,,,,PDF_OCR,1.0,32.0,3.0,1.0,21.0,1.0
2020-01-01,,,,,,,,PDF_OCR,2.0,1.0,1.0,1.0,21.0,1.0
2020-01-01,,,,,,,,PDF_OCR,8.0,8.0,8.0,8.0,4.0,8.0
2019-01-01,,,,,,,,PDF_OCR,8.0,2.0,3.0,8.0,8.0,3.0
2019-01-01,,,,,,,,PDF_OCR,6.0,2.0,29.0,1.0,19.0,1.0
2019-01-01,,,,,,,,PDF_OCR,1.0,1.0,16.0,1.0,1.0,14.0
2019-01-01,,,,,,,,PDF_OCR,28.0,8.0,31.0,1.0,1.0,1.0
2019-01-01,,,,,,,,PDF_OCR,1.0,4.0,1.0,1.0,1.0,1.0
2019-01-01,,,,,,,,PDF_OCR,8.0,2.0,2.0,8.0,4.0,25.0
2019-01-01,,,,,,,,PDF_OCR,21.0,1.0,1.0,1.0,1.0,1.0
2019-01-01,,,,,,,,PDF_OCR,1.0,1.0,1.0,60.0,6.0,1.0
2019-01-01,,,,,,,,PDF_OCR,1.0,1.0,1.0,1.0,11.0,1.0
2019-01-01,,,,,,,,PDF_OCR,3.0,7.0,1.0,1.0,1.0,1.0
2019-01-01,,,,,,,,PDF_OCR,18.0,21.0,8.0,8.0,8.0,1.0
2019-01-01,,,,,,,,PDF_OCR,1.0,1.0,10.0,1.0,11.0,1.0
2019-01-01,,,,,,,,PDF_OCR,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-01,,,,,,,,PDF_OCR,10.0,3.0,1.0,1.0,1.0,1.0
